ID,Určovatel,Pouzdro,Množství,Určení
1,LS1,REP-ABS-224-RC,1,ABS-224-RC
2,U5,OSRB8C9BA_Horizontal,1,OSRB38C9BA
3,"C1,C2,C3,C4,C5",CP_EIA-3528-21_Kemet-B,5,47u/10V
4,J1,IDC-Header_2x07_P2.54mm_Vertical,1,IDC_02X07
5,"H1,H2",Bolt_M3,2,M3
6,"D1,D2",LED_RGB_5050-6,2,LTST-G563ZEGBW
7,"U4,U2,U1,U3",OSRB8C9BA_Vertical,4,OSRB38C9BA
8,"R11,R8",R_0805_2012Metric,2,180R
9,"R5,R4,R3,R2,R1",R_0805_2012Metric,5,100R
10,"R6,R7,R9,R10",R_0805_2012Metric,4,120R
